state_cens,state,state2,empl,member,year
31,Ohio,OH,4635740.099166683,939561.3950000012,1992
73,Oklahoma,OK,1203081.1008333347,112599.4575,1992
92,Oregon,OR,1197451.4633333327,221494.62833333338,1992
23,Pennsylvania,PA,4932035.96333335,962035.3383333328,1992
15,Rhode Island,RI,424768.2541666661,83729.79833333327,1992
57,South Carolina,SC,1526383.3741666637,74324.11249999997,1992
45,South Dakota,SD,276964.5383333329,24610.715833333332,1992
62,Tennessee,TN,2060908.9283333304,213665.17250000004,1992
74,Texas,TX,7433083.254999961,503232.39666666696,1992
87,Utah,UT,728655.6016666683,68896.01666666663,1992
13,Vermont,VT,242673.7699999999,25577.255000000016,1992
54,Virginia,VA,2900368.498333337,270750.14166666643,1992
